job_id,zone,demand,depot_km,window_width,load_pct,seq_index,eta_slack,travel_variance,zone_late_rate,was_late,delay_min
H-0336,KOR,5,5.05,108.7,0.392,2,42.3,14.12,0.34,1,12
H-0337,WHT,10,2.467,46.2,0.603,3,6.3,3.6,0.41,1,22
H-0338,IND,4,3.315,121.0,0.615,5,19.1,2.32,0.18,0,0
H-0339,JPN,7,4.153,61.6,0.5,1,-0.8,5.57,0.22,1,21
H-0340,IND,11,4.248,58.5,0.424,5,15.4,4.87,0.18,0,0
H-0341,KOR,11,5.161,45.6,0.89,4,4.3,5.96,0.34,1,17
H-0342,KOR,4,6.056,69.2,0.321,5,11.0,3.1,0.34,0,0
H-0343,WHT,5,2.314,62.6,0.603,4,-7.3,6.21,0.41,0,0
H-0344,KOR,12,3.77,50.8,0.15,1,20.3,7.72,0.34,0,0
H-0345,WHT,6,4.756,94.1,0.538,3,12.3,7.0,0.41,0,0
H-0346,JPN,11,5.708,45.5,0.362,8,-20.3,7.56,0.22,1,7
H-0347,KOR,11,4.243,163.9,0.763,3,59.5,11.76,0.34,1,3
H-0348,KOR,10,0.4,36.0,0.537,3,-3.8,13.61,0.34,1,10
H-0349,IND,5,2.89,31.7,0.346,6,-46.7,3.96,0.18,1,24
H-0350,HSR,9,6.992,84.5,0.41,8,1.7,2.0,0.27,1,13
H-0351,HSR,6,2.083,100.2,0.6,3,35.7,6.4,0.27,0,0
H-0352,KOR,4,5.693,74.1,0.465,7,-26.5,0.77,0.34,0,0
H-0353,IND,10,3.604,48.7,0.506,5,-0.2,14.05,0.18,1,46
H-0354,WHT,11,4.266,111.1,0.747,3,21.2,2.27,0.41,1,4
H-0355,JPN,11,6.63,124.2,0.772,1,4.2,12.56,0.22,1,26
H-0356,KOR,4,4.153,106.4,0.799,5,-20.0,0.56,0.34,1,20
H-0357,IND,9,3.972,77.4,0.366,8,16.7,1.78,0.18,0,0
H-0358,JPN,9,7.086,88.3,0.645,4,-13.0,4.75,0.22,1,27
H-0359,JPN,11,4.098,104.6,0.822,6,32.5,3.33,0.22,0,0
H-0360,HSR,7,5.626,33.1,0.68,1,7.3,8.87,0.27,1,8
H-0361,WHT,5,1.567,30.3,0.633,3,-8.1,7.22,0.41,1,34
H-0362,KOR,7,1.83,87.9,0.882,4,4.4,8.49,0.34,0,0
H-0363,WHT,11,7.097,72.8,0.659,4,-17.4,5.02,0.41,1,10
H-0364,WHT,10,5.823,117.7,0.408,2,29.6,4.38,0.41,0,0
H-0365,JPN,11,7.386,81.1,0.855,6,7.1,2.81,0.22,1,8
H-0366,WHT,7,5.458,67.5,0.365,2,6.9,6.24,0.41,1,22
H-0367,WHT,4,1.34,29.9,0.733,3,-29.8,11.01,0.41,1,28
H-0368,WHT,9,3.103,66.5,0.719,1,43.9,3.66,0.41,0,0
H-0369,HSR,4,0.775,45.0,0.679,2,-20.9,13.14,0.27,1,44
H-0370,JPN,11,3.856,98.8,0.808,7,7.3,9.15,0.22,1,10
H-0371,WHT,5,4.175,123.3,0.327,8,8.2,12.28,0.41,0,0
H-0372,JPN,12,1.631,78.7,0.685,3,23.6,9.94,0.22,0,0
H-0373,HSR,5,3.697,63.4,0.959,7,6.8,7.83,0.27,0,0
H-0374,WHT,4,4.726,102.2,0.631,4,9.5,5.42,0.41,1,1
H-0375,WHT,7,4.903,101.3,0.556,3,3.5,12.78,0.41,1,28
H-0376,WHT,12,5.046,62.5,0.209,1,13.2,1.08,0.41,1,16
H-0377,KOR,4,7.936,44.0,0.743,2,-15.8,3.77,0.34,1,13
H-0378,HSR,4,8.934,45.3,0.677,4,-30.9,2.3,0.27,1,21
H-0379,IND,4,7.021,100.7,0.496,6,-12.8,1.84,0.18,1,13
H-0380,KOR,8,3.63,37.5,0.48,2,-17.2,6.19,0.34,1,10
H-0381,JPN,12,0.666,59.8,0.861,8,-37.5,2.52,0.22,1,15
H-0382,HSR,11,4.942,95.5,0.487,6,10.1,9.5,0.27,1,15
H-0383,HSR,4,3.54,30.4,0.23,3,-26.5,0.88,0.27,1,1
H-0384,KOR,9,4.859,134.8,0.671,6,17.7,8.78,0.34,1,8
H-0385,HSR,7,2.469,137.4,0.52,8,5.1,2.0,0.27,1,28
H-0386,WHT,8,3.246,54.8,0.618,3,9.0,4.47,0.41,0,0
H-0387,KOR,4,4.012,87.0,0.489,4,-8.5,9.84,0.34,1,13
H-0388,KOR,9,2.405,140.7,0.775,4,35.6,3.3,0.34,0,0
H-0389,IND,11,1.598,81.8,0.379,8,-53.0,10.83,0.18,1,37
H-0390,HSR,6,7.873,105.1,0.268,7,-23.2,2.04,0.27,1,28
H-0391,KOR,10,5.867,91.0,0.787,5,14.2,8.58,0.34,0,0
H-0392,IND,10,6.554,80.5,0.572,2,8.8,8.84,0.18,0,0
H-0393,JPN,5,5.598,39.2,0.414,8,-23.6,25.0,0.22,1,36
H-0394,JPN,12,4.2,111.9,0.894,3,17.6,10.1,0.22,1,24
H-0395,KOR,10,4.212,56.8,0.172,7,17.6,10.0,0.34,0,0
H-0396,HSR,5,3.785,72.9,0.834,1,-1.9,22.88,0.27,1,19
H-0397,HSR,10,4.717,68.0,0.416,4,16.1,1.82,0.27,0,0
H-0398,JPN,6,5.154,140.5,0.675,3,24.1,18.52,0.22,0,0
H-0399,HSR,7,0.4,58.1,0.265,6,-22.3,2.0,0.27,1,30
H-0400,JPN,8,7.008,23.3,0.393,4,-36.8,5.1,0.22,1,21
H-0401,JPN,9,2.852,73.1,0.562,4,16.2,11.12,0.22,1,31
H-0402,IND,10,3.123,104.0,0.823,5,-15.6,5.02,0.18,0,0
H-0403,HSR,11,4.702,51.1,0.426,7,-17.2,1.24,0.27,1,26
H-0404,HSR,6,5.282,68.1,0.257,5,8.8,25.0,0.27,1,22
H-0405,IND,6,7.969,64.9,0.85,1,-6.5,3.91,0.18,0,0
H-0406,JPN,12,4.878,83.1,0.285,7,-21.9,6.74,0.22,1,9
H-0407,HSR,11,2.722,50.1,0.97,5,-2.1,7.19,0.27,1,15
H-0408,HSR,5,3.11,94.3,0.335,5,7.5,2.23,0.27,0,0
H-0409,IND,12,4.777,31.5,0.727,3,4.7,6.45,0.18,1,34
H-0410,JPN,12,5.67,93.2,0.565,2,8.5,5.38,0.22,1,6
H-0411,KOR,7,4.636,63.5,0.456,2,7.2,11.25,0.34,0,0
H-0412,WHT,4,6.244,139.5,0.36,7,16.3,10.01,0.41,1,15
H-0413,IND,5,4.194,119.8,0.424,4,12.4,6.99,0.18,0,0
H-0414,KOR,12,7.037,69.4,0.404,2,33.1,14.74,0.34,1,23
H-0415,JPN,4,3.916,48.9,0.389,1,14.5,2.03,0.22,0,0
H-0416,WHT,6,7.705,88.2,0.812,5,2.1,3.37,0.41,1,1
H-0417,KOR,9,4.071,39.2,0.3,1,-7.1,8.67,0.34,1,37
H-0418,IND,9,4.58,114.8,0.724,4,17.2,6.83,0.18,1,24
H-0419,KOR,4,5.716,94.6,0.15,3,38.1,8.96,0.34,1,26
